orderTime,serialNo,productNum,productAcctNum,portfolioNum,exchId,regId,stkId,contractNum,creditFlag,creditCashAmt,returnCreditCashAmt,tdReturnCreditCashAmt,creditCashInterest,returnCreditCashInterest,tdReturnCreditCashInterest,creditShareAmt,creditShareQty,creditShareFee,returnCreditShareQty,tdReturnCreditShareQty,returnCreditShareFee,tdReturnCreditShareFee,knockAvgPrice,knockQty,closeTime,creditCashIntRate,creditShareIntRate,tradeFee,CompactId,previousCreditCashAmt,PreviousCreditShareQty,UnReturnCreditCashAmt,UnReturnCreditShareQty,ExtendStatus
20220929000000,107422,25,30,32,1,0B00220418,000425,1000150008,1,0.0,0.0,0.0,0.0,0.0,0.0,450.0,100,0.0,0,0,0.0,0.0,4.5,100,-1,0.0,0.0,0.0,,0.0,0,0.0,100,0
20151204000000,50068,136,168,185,1,0680056427,000001,A100000001,1,0.0,2424.4,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000001,0.0,0,2424.4,1000,
20151204000000,50069,136,168,185,1,0680056427,000002,A100000002,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000002,0.0,0,0.0,1000,
20151204000000,50070,136,168,185,1,0680056427,000006,A100000006,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000006,0.0,0,0.0,1000,
20151204000000,50071,136,168,185,1,0680056427,000009,A100000009,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000009,0.0,0,0.0,1000,
20151204000000,50072,136,168,185,1,0680056427,000012,A100000012,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000012,0.0,0,0.0,1000,
20151204000000,50073,136,168,185,1,0680056427,000016,A100000016,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000016,0.0,0,0.0,1000,
20151204000000,50074,136,168,185,1,0680056427,000021,A100000021,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000021,0.0,0,0.0,1000,
20151204000000,50075,136,168,185,1,0680056427,000025,A100000025,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000025,0.0,0,0.0,1000,
20151204000000,50076,136,168,185,1,0680056427,000027,A100000027,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000027,0.0,0,0.0,1000,
20151204000000,50077,136,168,185,1,0680056427,000028,A100000028,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000028,0.0,0,0.0,1000,
20151204000000,50078,136,168,185,1,0680056427,000030,A100000030,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000030,0.0,0,0.0,1000,
20151204000000,50079,136,168,185,1,0680056427,000031,A100000031,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000031,0.0,0,0.0,1000,
20151204000000,50080,136,168,185,1,0680056427,000034,A100000034,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000034,0.0,0,0.0,1000,
20151204000000,50081,136,168,185,1,0680056427,000035,A100000035,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000035,0.0,0,0.0,1000,
20151204000000,50082,136,168,185,1,0680056427,000036,A100000036,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000036,0.0,0,0.0,1000,
20151204000000,50083,136,168,185,1,0680056427,000039,A100000039,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000039,0.0,0,0.0,1000,
20151204000000,50084,136,168,185,1,0680056427,000040,A100000040,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000040,0.0,0,0.0,1000,
20151204000000,50085,136,168,185,1,0680056427,000046,A100000046,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000046,0.0,0,0.0,1000,
20151204000000,50086,136,168,185,1,0680056427,000049,A100000049,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000049,0.0,0,0.0,1000,
20151204000000,50087,136,168,185,1,0680056427,000050,A100000050,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000050,0.0,0,0.0,1000,
20151204000000,50088,136,168,185,1,0680056427,000059,A100000059,1,0.0,0.0,0.0,100.0,0.0,0.0,0.0,1000,0.0,0,0,0.0,0.0,12.0,1000,20160604,0.0,0.0,0.0,A100000059,0.0,0,0.0,1000,
