productNum,productAcctNum,currencyId,acctid,ThirdSystemId,previousAmt,previousStkValue,previousIncome,ydMarginUsedAmt,currentAmt,UsableAmt,tradeFrozenAmt,ExceptFrozenAmt,needSettleAmt,marginUsedAmt,StkValue,closePNL,realTimePnl,closeNoFeePNL,sumClosePNL,sumTotalFee,T2ExtraUsableAmt,CashMovementAmt,updateTime,TotalDebt,AssetsTotalValue,SZT2ExtraUsableAmt,T1ShareUsableAmt,usedT1ShareUsabledAmt,SZusedT1ShareUsabledAmt
2,2,RMB,10500531,2901,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220927000000,0.0,0.0,0.0,0.0,0.0,0.0
2,285,RMB,10500531,2201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220825000000,0.0,0.0,0.0,0.0,0.0,0.0
2,286,RMB,10500531,2201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220825000000,0.0,0.0,0.0,0.0,0.0,0.0
2,324,RMB,30500531,2413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220831000000,0.0,0.0,0.0,0.0,0.0,0.0
2,417,RMB,60500531,2401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220902000000,0.0,0.0,0.0,0.0,0.0,0.0
2,430,RMB,10500531,2201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220902000000,0.0,0.0,0.0,0.0,0.0,0.0
2,431,RMB,10500531,2201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220902000000,0.0,0.0,0.0,0.0,0.0,0.0
2,432,RMB,10500531,2201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220902000000,0.0,0.0,0.0,0.0,0.0,0.0
2,434,RMB,10500531,2201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220902000000,0.0,0.0,0.0,0.0,0.0,0.0
2,435,RMB,60500531,2401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220902000000,0.0,0.0,0.0,0.0,0.0,0.0
2,438,RMB,10500531,2201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220902000000,0.0,0.0,0.0,0.0,0.0,0.0
2,637,RMB,10500531,2201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220916000000,0.0,0.0,0.0,0.0,0.0,0.0
3,3,RMB,99990001|0001,2405,0.0,0.0,0.0,0.0,19990.0,19995.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220902165705,0.0,0.0,0.0,0.0,0.0,0.0
3,440,RMB,99990001|0001,2405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220902000000,0.0,0.0,0.0,0.0,0.0,0.0
3,441,RMB,99990001|0001,2405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220902000000,0.0,0.0,0.0,0.0,0.0,0.0
3,442,RMB,888|111,2405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220902000000,0.0,0.0,0.0,0.0,0.0,0.0
3,443,RMB,888|111,2405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220902000000,0.0,0.0,0.0,0.0,0.0,0.0
3,444,RMB,888|111,2405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220902000000,0.0,0.0,0.0,0.0,0.0,0.0
4,16,RMB,000000000948,2405,0.0,0.0,0.0,0.0,999999999999.0,999999999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220212123257,0.0,0.0,0.0,0.0,0.0,0.0
4,17,RMB,000000000948,2301,0.0,0.0,0.0,0.0,999999999999.0,999999999999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220212000000,0.0,0.0,0.0,0.0,0.0,0.0
5,5,RMB,888|111,2301,0.0,0.0,0.0,0.0,1000000000.0,994987069.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220323235327,0.0,0.0,0.0,0.0,0.0,0.0
5,5,RMB,888|111,2405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220831153102,0.0,0.0,0.0,0.0,0.0,0.0
5,445,RMB,99990001|0001,2405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220902000000,0.0,0.0,0.0,0.0,0.0,0.0
6,6,RMB,000020220210,2301,0.0,0.0,0.0,0.0,999999999999.0,87555.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220929183116,0.0,0.0,0.0,0.0,0.0,0.0
7,7,RMB,999991100,2301,0.0,0.0,0.0,0.0,999999999999.0,999993151806.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220726102337,0.0,0.0,0.0,0.0,0.0,0.0
7,536,RMB,000020220906,2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220906000000,0.0,0.0,0.0,0.0,0.0,0.0
7,537,RMB,000020220907,2301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220906000000,0.0,0.0,0.0,0.0,0.0,0.0
8,8,RMB,000000002078,2301,0.0,0.0,0.0,0.0,999999999999.99,999999489307.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220923145247,0.0,0.0,0.0,0.0,0.0,0.0
9,9,RMB,000000002079,2201,0.0,0.0,0.0,0.0,100000000.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220823091839,0.0,0.0,0.0,0.0,0.0,0.0
9,20,RMB,000000002030,2202,0.0,0.0,0.0,0.0,100000000.0,100000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220830102026,0.0,0.0,0.0,0.0,0.0,0.0
10,10,RMB,000020220211,2301,0.0,0.0,0.0,0.0,999999999999.0,9995791.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220801210726,0.0,0.0,0.0,0.0,0.0,0.0
11,12,RMB,33441,2301,0.0,0.0,0.0,0.0,999999999999.0,999999999188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20220419132547,0.0,0.0,0.0,0.0,0.0,0.0
