productNum,productAcctNum,PortfolioNum,exchId,regId,offerRegId,regName,currencyId,deskId,F_hedgeFlagList,regStatus,exchProperty,memo,openDate,optId,acctId,thirdSystemId,fixFlag,flag,PortfolioName,prodAcctType,acctPermitList,ownertype,branchCode,regPermitList,grantStkTypeList
3,3,4,1,0001,0001,0001,RMB,,SPEC,0,0,,20220127000000,99990,99990001|0001,2405,2.0,1,Stock,0,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2
4,16,17,0,0A20210915,0A20210915,SH,RMB,13031,SPEC,0,0,,20220212000000,99990,000000000948,2405,0.0,1,YWN,0,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2
4,16,17,1,1A20210915,1A20210915,SZ,RMB,004400,SPEC,0,0,,20220212000000,99990,000000000948,2405,2.0,1,YWN,0,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2
5,5,6,0,111,111,111,RMB,,SPEC,0,0,,20220128000000,99990,888|111,2405,0.0,1,HSHS,0,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2
5,5,6,1,111,111,111,RMB,,SPEC,0,0,,20220128000000,99990,888|111,2405,2.0,1,HSHS,0,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2
6,6,7,0,0A20220210,0A20220210,0A20220210,RMB,15810,SPEC,0,0,,20220210000000,99990,000020220210,2301,0.0,1,现货资产单元,0,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2
6,6,7,1,1A20220210,1A20220210,1A20220210,RMB,15810,SPEC,0,0,,20220210000000,99990,000020220210,2301,2.0,1,现货资产单元,0,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2
7,7,8,0,31646465456,31646465456,15810,RMB,15810,SPEC,0,0,,20220210000000,99990,999991100,2301,0.0,1,QQZQ现货,0,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2
7,7,8,1,12312312,12312312,15810,RMB,15810,SPEC,0,0,,20220210000000,99990,999991100,2301,2.0,1,QQZQ现货,0,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2
7,537,574,0,20220907,20220907,20220907,RMB,,SPEC,0,0,,20220906000000,99990,000020220907,2301,0.0,1,3333,0,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^F2^M0^N0^N1^R0^U1^U2
7,537,574,1,20220907,20220907,20220907,RMB,,SPEC,0,0,,20220906000000,99990,000020220907,2301,2.0,1,3333,0,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^F2^M0^N0^N1^R0^U1^U2
8,8,9,0,A207800000,A207800000,A207800000,RMB,15810,SPEC,0,0,,20220210000000,99990,000000002078,2301,0.0,1,000000002078,0,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2
8,8,9,1,2079000000,2079000000,2079000000,RMB,15810,SPEC,0,0,,20220210000000,99990,000000002078,2301,2.0,1,000000002078,0,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2
9,9,10,F,F193600002,F193600002,F193600002,RMB,15810,SPEC,0,1,,20220210000000,99990,000000002079,2201,0.0,1,000000002079,1,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2
9,20,21,F,F103600000,F103600000,F103600000,RMB,15810,SPEC,0,1,,20220215000000,99990,000000002030,2202,0.0,1,000000002030,1,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2
10,10,11,0,0A20220211,0A20220211,0A20220211,RMB,15810,SPEC,0,0,,20220211000000,99990,000020220211,2301,0.0,1,现货1资产单元,0,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2
10,10,11,1,1A20220211,1A20220211,1A20220211,RMB,15810,SPEC,0,0,,20220211000000,99990,000020220211,2301,2.0,1,现货1资产单元,0,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2
11,12,13,0,33441,33441,对账上海,RMB,15810,SPEC,0,0,,20220211000000,99990,33441,2301,0.0,1,只有上海,0,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2
11,13,14,1,33443,33443,对账深圳,RMB,15810,SPEC,0,0,,20220211000000,99990,33443,2301,2.0,1,只有深圳,0,,,,,A0^A1^A2^A3^A4^A5^A6^C0^C1^D1^D2^D5^D7^E1^E3^F1^U1^U2
